,time,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,box_off_num,rank,genre_rank,screening_rat_15세 관람가,screening_rat_전체 관람가,screening_rat_청소년 관람불가
193,74,1556.0,1,0,2,54,5,5,0,0,1
194,62,0.0,0,3,2,152,61,8,0,0,0
373,98,0.0,0,34,4,3177,61,8,1,0,0
484,115,0.0,0,28,3,1599,61,8,0,0,1
492,90,0.0,0,24,2,1958,61,2,1,0,0
196,88,0.0,0,48,8,2595,68,9,0,0,1
237,91,0.0,0,57,3,2146,68,5,0,0,1
414,100,813164.0,1,75,4,6054,68,9,0,0,1
197,104,0.0,0,227,4,36535,98,2,1,0,0
279,80,0.0,0,48,3,2117,98,9,0,0,1
343,134,3154.0,2,139,5,9272,98,8,0,0,1
457,75,0.0,0,93,4,14537,98,8,0,0,1
199,95,0.0,0,65,3,90,8,8,0,0,0
205,98,0.0,0,5,6,53235,114,4,0,1,0
526,78,0.0,0,0,5,23802,114,4,0,0,0
206,120,1029415.66666667,3,71,6,497994,133,8,0,0,0
226,107,37518.0,1,318,3,1214237,141,12,1,0,0
228,94,0.0,0,54,1,155281,121,2,0,0,0
233,99,0.0,0,40,3,339,17,8,0,0,1
234,107,0.0,0,14,3,1426,56,7,0,0,1
235,79,0.0,0,18,6,1806,62,2,0,1,0
238,82,2914.0,1,0,4,1526,58,2,1,0,0
239,101,0.0,0,58,5,1504,57,12,0,0,1
249,127,0.0,0,74,4,831,36,8,0,0,1
250,67,0.0,0,18,3,7448,89,5,0,0,1
251,86,50699.0,1,89,3,1831,87,8,0,0,1
334,106,17857.0,1,7,3,12457,87,8,0,1,0
253,96,348084.0,3,2,2,1556,59,2,0,0,0
262,82,0.0,0,23,4,329,27,8,0,0,0
427,108,664267.0,2,66,4,891,27,5,0,0,1
275,104,0.0,0,0,6,678,31,8,0,1,0
278,121,72.5,2,458,3,3117859,146,8,1,0,0
283,97,0.0,0,0,2,588,24,8,0,0,1
284,90,0.0,0,16,3,446,53,8,0,0,1
503,97,0.0,0,1,2,1379,53,8,0,0,1
538,99,0.0,0,117,4,3523,53,8,0,0,0
289,75,30751.5,2,3,5,11666,105,2,0,0,0
354,92,0.0,0,15,6,29668,105,2,0,1,0
294,91,0.0,0,90,4,162,10,8,0,0,1
305,83,891.0,1,51,2,1351,52,2,1,0,0
306,75,332643.0,1,19,1,21317,106,2,0,0,0
311,87,0.0,0,27,4,3534,76,5,0,0,1
314,85,0.0,0,26,2,1533,55,5,0,0,1
430,80,3534.0,1,26,2,1250,55,5,0,0,1
324,92,0.0,0,3,4,2,1,8,0,0,1
325,91,402735.33333333296,3,131,3,10449,97,9,1,0,0
327,95,0.0,0,18,4,8695,92,2,0,1,0
335,88,0.0,0,1,3,5100,84,7,0,0,1
336,75,0.0,0,2,3,1045,43,2,0,0,0
338,78,17615314.0,1,27,3,8,2,5,0,0,1
341,97,409411.5,2,49,2,2802,70,5,1,0,0
345,80,0.0,0,20,3,742,28,8,1,0,0
474,80,1200.0,1,53,4,484,28,8,0,1,0
483,96,0.0,0,38,3,205,28,6,0,0,1
586,83,0.0,0,2,4,4550,28,8,0,0,0
348,100,0.0,0,237,4,60944,126,8,1,0,0
465,114,8.0,1,200,2,283449,126,5,1,0,0
349,70,0.0,0,94,4,1611,60,8,1,0,0
355,80,0.0,0,0,0,862,37,1,0,1,0
364,85,0.0,0,21,2,20081,104,5,0,1,0
367,104,93748.0,3,253,2,346483,130,11,1,0,0
385,123,0.0,0,8,4,647,30,6,0,0,1
387,109,462441.66666666704,3,191,6,37909,113,9,1,0,0
406,100,0.0,0,32,2,11969,113,8,1,0,0
495,97,0.0,0,20,3,68312,113,7,0,0,1
563,90,67602.0,1,57,2,21295,113,5,1,0,0
583,103,281.0,1,194,5,429141,113,12,0,0,1
396,118,138190.0,1,336,5,57261,118,8,1,0,0
418,104,0.0,0,4,0,4092,80,2,0,1,0
421,117,0.0,0,76,4,3099,73,8,0,1,0
426,83,0.0,0,7,7,303,15,9,0,0,1
428,61,345.333333333333,3,2,6,71,6,2,0,1,0
436,73,0.0,0,3,1,7956,90,2,0,1,0
439,70,0.0,0,20,1,12341,99,2,0,0,0
448,86,0.0,0,0,4,46,4,8,1,0,0
451,105,0.0,0,121,7,721,32,8,0,0,1
453,108,0.0,0,23,2,136,9,8,1,0,0
454,101,0.0,0,3,1,10203,111,2,0,1,0
540,100,145.0,1,290,3,61414,111,11,0,0,1
456,63,0.0,0,10,0,79,7,2,0,1,0
461,115,0.0,0,82,3,9323,95,10,1,0,0
480,102,0.0,0,101,3,482,21,8,0,0,1
482,82,0.0,0,0,1,600,26,2,0,0,0
490,100,0.0,0,54,7,1217,47,9,1,0,0
491,113,0.0,0,477,7,1201944,140,11,1,0,0
504,93,0.0,0,53,2,1873,63,9,0,0,0
508,133,0.0,0,4,4,16323,103,1,0,1,0
511,120,0.0,0,103,16,1547,48,8,0,0,1
558,89,0.0,0,1,3,1028,48,2,0,0,0
513,120,20380.0,1,436,2,771699,136,8,1,0,0
515,100,0.0,0,77,3,820,35,10,1,0,0
533,67,0.0,0,8,3,2329,67,4,0,0,0
539,111,0.0,0,410,4,1383867,142,8,1,0,0
542,91,0.0,0,1,2,555,23,7,0,0,1
549,84,0.0,0,0,1,6226,86,5,0,0,1
553,84,0.0,0,0,1,3399,74,2,0,1,0
562,94,0.0,0,158,2,3436,75,5,0,0,0
569,100,86837.0,2,10,3,7173,88,8,1,0,0
574,61,424.0,2,6,8,188,13,8,1,0,0
575,78,0.0,0,17,7,172,12,8,0,0,0
578,90,53235.0,1,167,7,35567,110,4,0,1,0
593,97,0.0,0,5,3,1132,45,6,0,0,1
